Extracting CIFAR-100 to SLURM_TMPDIR...
Using device: cuda
Loading data from: /tmp
Starting exact memory-efficient training tracking batch deviations...
Epoch [118/160] | LR: 0.1235 | Train Acc: 99.97% | Test Acc: 76.57% | Time: 230.8s
Epoch [119/160] | LR: 0.1206 | Train Acc: 99.98% | Test Acc: 76.68% | Time: 230.5s
Epoch [120/160] | LR: 0.1176 | Train Acc: 99.98% | Test Acc: 76.69% | Time: 230.5s
Epoch [121/160] | LR: 0.1147 | Train Acc: 99.98% | Test Acc: 76.49% | Time: 230.4s
Epoch [122/160] | LR: 0.1118 | Train Acc: 99.98% | Test Acc: 76.52% | Time: 230.5s
Epoch [123/160] | LR: 0.1088 | Train Acc: 99.98% | Test Acc: 76.61% | Time: 230.4s
Epoch [124/160] | LR: 0.1059 | Train Acc: 99.98% | Test Acc: 76.47% | Time: 230.5s
Epoch [125/160] | LR: 0.1029 | Train Acc: 99.98% | Test Acc: 76.53% | Time: 230.3s
Epoch [126/160] | LR: 0.1000 | Train Acc: 99.97% | Test Acc: 76.59% | Time: 230.5s
Epoch [127/160] | LR: 0.0971 | Train Acc: 99.97% | Test Acc: 76.68% | Time: 230.4s
Epoch [128/160] | LR: 0.0941 | Train Acc: 99.98% | Test Acc: 76.61% | Time: 230.4s
Epoch [129/160] | LR: 0.0912 | Train Acc: 99.98% | Test Acc: 76.57% | Time: 230.3s
Epoch [130/160] | LR: 0.0882 | Train Acc: 99.97% | Test Acc: 76.70% | Time: 230.4s
Epoch [131/160] | LR: 0.0853 | Train Acc: 99.97% | Test Acc: 76.49% | Time: 230.4s
Epoch [132/160] | LR: 0.0824 | Train Acc: 99.98% | Test Acc: 76.52% | Time: 230.5s
Epoch [133/160] | LR: 0.0794 | Train Acc: 99.97% | Test Acc: 76.59% | Time: 230.5s
Epoch [134/160] | LR: 0.0765 | Train Acc: 99.97% | Test Acc: 76.76% | Time: 230.5s
Epoch [135/160] | LR: 0.0735 | Train Acc: 99.98% | Test Acc: 76.64% | Time: 230.4s
