Epoch,LR,Train Loss,Train Acc,Test Loss,Test Acc,Time(s)
27,0.3911764705882353,0.8957757467587789,70.71,1.6818925842285157,57.82,36.76219153404236
27,0.3911764705882353,0.7531101230303446,75.36,1.7896760620117187,57.54,36.75737524032593
27,0.3911764705882353,0.5139262714862823,83.43,1.68203046875,61.27,37.600961685180664
28,0.38823529411764707,0.8036919714609781,73.39333333333333,1.782679327392578,57.74,36.6813850402832
28,0.38823529411764707,0.6593189247131348,78.38333333333334,1.599639630126953,60.27,36.70789575576782
28,0.38823529411764707,0.4287054781913757,86.22666666666667,1.8211162841796875,62.82,37.59572505950928
29,0.38529411764705884,0.7258022404352824,75.92666666666666,1.6516619018554688,60.77,36.72581124305725
29,0.38529411764705884,0.5819913871765137,80.82666666666667,1.7030592590332032,60.85,36.70996165275574
29,0.38529411764705884,0.3941463144938151,86.99333333333334,1.6603117095947266,65.19,37.583205223083496
30,0.3823529411764706,0.6420561725298564,78.52666666666667,1.7129673645019532,59.8,36.87670707702637
30,0.3823529411764706,0.5121408754666646,83.13333333333334,1.7655147094726562,60.96,36.679420709609985
30,0.3823529411764706,0.35791613434155783,88.26666666666667,1.8831414184570312,62.53,37.56529474258423
31,0.37941176470588234,0.5932837766647339,80.13333333333334,1.7627891845703125,60.55,36.68514347076416
31,0.37941176470588234,0.45156439962387085,85.13,1.6704017791748047,62.87,36.67056584358215
31,0.37941176470588234,0.3275323821226756,89.08333333333333,1.5759318695068358,67.59,37.62037634849548
32,0.3764705882352941,0.5106036027590434,82.89,1.6034665252685547,62.35,36.68670582771301
32,0.3764705882352941,0.3905708003203074,87.02666666666667,1.8838652587890625,60.46,36.65177273750305
32,0.3764705882352941,0.2758599819660187,90.83666666666667,1.5175311645507812,67.26,37.571908473968506
33,0.3735294117647059,0.47158050661087036,84.10666666666667,1.8335894836425781,61.35,36.81276345252991
33,0.3735294117647059,0.3338716220855713,88.83333333333333,1.8505079711914063,61.39,36.63996505737305
33,0.3735294117647059,0.23142382767995198,92.41666666666667,1.6556942321777344,66.26,37.610400915145874
34,0.37058823529411766,0.40595567588806153,86.45666666666666,1.821757272338867,62.03,36.68109464645386
34,0.37058823529411766,0.3012895737171173,90.02666666666667,1.6507303253173828,64.6,36.648298501968384
34,0.37058823529411766,0.19290503446261087,93.64,1.6421768493652344,68.56,37.576345443725586
35,0.36764705882352944,0.35808002128601074,87.81333333333333,1.7410269500732423,64.26,36.66503715515137
35,0.36764705882352944,0.26207714411417643,91.34333333333333,1.8039385040283202,63.26,36.727450370788574
35,0.36764705882352944,0.18009716307322185,94.0,1.6313911895751954,67.96,37.58067512512207
36,0.3647058823529412,0.3232717072804769,89.27666666666667,1.7415133422851563,63.42,36.804682970047
36,0.3647058823529412,0.23642644316355388,92.11,1.94704912109375,62.77,36.69825768470764
36,0.3647058823529412,0.16560406436920166,94.58,1.648335565185547,68.91,37.56334686279297
37,0.361764705882353,0.28995572203000386,90.19333333333333,1.6952226684570313,65.91,36.66315007209778
37,0.361764705882353,0.20690889377593993,93.25333333333333,1.8479507263183594,64.37,36.68892288208008
37,0.361764705882353,0.13498331514994302,95.62666666666667,1.6577085998535157,69.58,37.58990740776062
38,0.35882352941176476,0.24880614082018535,91.81666666666666,1.766700405883789,64.8,36.698972940444946
38,0.35882352941176476,0.1896706420501073,93.78,1.9435010955810548,63.14,36.657411098480225
39,0.3558823529411765,0.23085328214963277,92.31,1.7440465393066407,66.23,36.81278872489929
38,0.35882352941176476,0.12724110378026962,95.90333333333334,1.6956888397216796,70.24,37.581276655197144
39,0.3558823529411765,0.16859873389403024,94.40666666666667,1.7827204193115234,65.97,36.680126428604126
40,0.35294117647058826,0.20568346321582795,93.07,1.8177760437011719,65.42,36.672266483306885
39,0.3558823529411765,0.11527835081418356,96.37333333333333,1.6643815124511718,69.91,37.579147815704346
40,0.35294117647058826,0.14351562846501667,95.26333333333334,1.775715509033203,65.8,36.643420934677124
41,0.35000000000000003,0.17378677336374918,94.35333333333334,1.8392086853027343,65.89,36.67547416687012
40,0.35294117647058826,0.09259300671418508,97.06666666666666,1.6289071105957031,71.24,37.6084086894989
41,0.35000000000000003,0.10995758181015651,96.68,1.7846908142089843,66.12,36.64039421081543
42,0.3470588235294118,0.16402510883808136,94.53666666666666,1.7714709350585938,67.46,36.7981653213501
41,0.35000000000000003,0.07973964873154958,97.52333333333333,1.6748328033447266,70.33,37.5899453163147
42,0.3470588235294118,0.0972748028477033,97.02,1.890201092529297,67.08,36.69896054267883
43,0.3441176470588236,0.13809150990645092,95.43,1.729866241455078,67.8,36.7004771232605
42,0.3470588235294118,0.07591652562220891,97.58333333333333,1.6571642059326173,71.31,37.600492000579834
43,0.3441176470588236,0.08518434247573217,97.38,1.8987350891113282,66.76,36.637505531311035
44,0.3411764705882353,0.1290390594402949,95.92666666666666,1.7887772705078124,67.64,36.732356548309326
43,0.3441176470588236,0.08193625910282135,97.44,1.7190633331298828,71.16,37.57064723968506
44,0.3411764705882353,0.0760272469997406,97.70666666666666,1.8418876525878907,67.32,36.70437216758728
45,0.3382352941176471,0.10397301584879558,96.69,1.7450310028076172,68.73,36.8891065120697
45,0.3382352941176471,0.0668595531821251,98.03666666666666,1.8740166534423828,67.27,36.7005877494812
44,0.3411764705882353,0.061484633032480876,98.1,1.7820632232666016,70.63,37.59419584274292
46,0.33529411764705885,0.10831751047770183,96.62,1.8127411590576172,68.07,36.67286705970764
46,0.33529411764705885,0.05773856854836146,98.33,1.929374041748047,66.68,36.639304637908936
45,0.3382352941176471,0.05385049418409665,98.44666666666667,1.7025886840820312,71.76,37.58063364028931
47,0.33235294117647063,0.0970738201200962,96.92,1.8711885711669922,67.85,36.69285559654236
47,0.33235294117647063,0.058415927106142046,98.23666666666666,1.9100192504882811,67.06,36.70665001869202
46,0.33529411764705885,0.04200005890925725,98.81666666666666,1.6242853393554688,72.56,37.56623864173889
48,0.32941176470588235,0.0808658332824707,97.52333333333333,1.8101892395019532,68.59,36.80724263191223
48,0.32941176470588235,0.04566105312307676,98.81333333333333,1.876760760498047,68.37,36.718427419662476
47,0.33235294117647063,0.04023493687113126,98.81666666666666,1.702586001586914,72.71,37.55743741989136
49,0.3264705882352941,0.07276701612869899,97.76,1.9425468688964844,68.07,36.66804051399231
49,0.3264705882352941,0.03965190869172414,98.85333333333334,1.8308702453613281,68.12,36.71542239189148
48,0.32941176470588235,0.03638593835532665,98.95666666666666,1.7659055084228517,72.11,37.604933738708496
50,0.3235294117647059,0.06877170591751734,97.94333333333333,1.8150095642089843,68.45,36.64826703071594
50,0.3235294117647059,0.04060939089655876,98.87666666666667,1.8647199127197265,68.49,36.701327323913574
49,0.3264705882352941,0.02946453110774358,99.17333333333333,1.7041638732910156,72.87,37.6143364906311
51,0.3205882352941177,0.05872920247316361,98.24666666666667,1.865042416381836,68.4,36.816006660461426
51,0.3205882352941177,0.034977897612253825,99.06333333333333,1.8528070037841797,68.8,36.709821462631226
50,0.3235294117647059,0.026720591709017753,99.31,1.6451172302246093,73.65,37.586392641067505
52,0.3176470588235294,0.04504817007184029,98.67666666666666,1.8161362915039063,69.43,36.64494848251343
52,0.3176470588235294,0.027116020210584006,99.34,1.8682983184814452,69.29,36.65691804885864
51,0.3205882352941177,0.020487480282783507,99.41666666666667,1.6866916961669922,73.54,37.60653829574585
